,FID,id,Residential_300m,Commercial_300m,Av_traffic_300m,Roads_300m
295,41874,22611,255871.9248,0,127.012476,3752.231569
296,39067,22647,17251.6075,0,268.6412137,1045.433168
297,13457,22692,280385.8832,0,2864.11356,3477.325532
298,51307,22742,0,0,1598.042778,1371.5799
299,51641,22745,140478.5217,0,736.054672,3597.665026
300,45219,22851,0,0,0,0
301,49794,22887,0,0,0,0
302,38854,22902,120529.1662,49248.1981,4454.151041,4826.333897
303,40932,22929,94070.53172,0,138.1388205,1998.987098
304,43884,23003,248210.1064,0,567.6059514,3030.579526
305,40572,23021,0,0,3.090673361,581.7454774
306,43493,23054,67369.93665,7395.526991,4278.756399,4646.160222
307,17951,23061,0,0,8157.863642,5446.773331
308,37797,23081,171859.8328,0,758.465444,2858.704622
309,31996,23147,182459.3949,0,598.5101829,4268.020031
310,36065,23282,205.8546172,0,973.4696023,2300.040143
311,47142,23315,249331.3968,0,887.7108916,3753.347534
312,46217,23328,191750.4784,0,249.5129996,3942.815757
313,41125,23377,12677.25734,0,3056.242725,2720.17818
314,48131,23378,189085.9075,0,12607.84843,7119.319582
315,48156,23420,60832.64331,28057.05254,4355.369164,4694.309924
316,29963,23442,0,0,109.7073515,1368.858917
317,48135,23469,122875.2681,0,427.9711988,2180.044418
318,40087,23523,48018.06369,48097.4833,4393.839642,4412.825214
319,38129,23538,266973.7183,0,911.6000352,4539.810085
320,48145,23544,131426.7312,0,488.2224155,1372.150238
321,41810,23550,149581.5242,0,13.91060966,3188.485855
322,51298,23562,16140.01611,0,248.7882266,1548.862674
323,43690,23578,17815.15288,0,0,1596.49041
324,29970,23630,0,0,13.00621555,1160.554366
325,48221,23647,221297.4457,0,554.0655302,2782.140908
326,44481,23649,281886.8303,0,96.36727396,4806.662966
327,38247,23699,0,0,4903.900732,1661.144835
328,44004,23710,282618.3637,0,206.7551825,2712.472474
329,38005,23743,136019.1709,0,4169.166107,3482.816901
330,34212,23802,223602.6311,17250.79029,36.08520377,3860.493897
331,48314,23807,0,0,26.15150191,828.2213825
332,39547,23861,71427.2778,0,182.3083698,1712.188379
333,51240,23863,105735.203,50367.43439,1829.340479,3816.469539
334,36468,23882,16671.73482,0,1250.198802,2532.274064
335,31972,24037,123293.0504,0,2218.233607,4201.330778
336,45578,24058,158000.1575,0,211.3169767,2810.123983
337,49982,24075,209385.489,15427.77807,36.56996633,3270.270369
338,43114,24093,205808.4898,0,149.0040008,3277.858341
339,45134,24246,265845.2419,0,373.3671016,3922.305709
340,41336,24273,66429.58076,38136.78252,2332.69385,3994.122615
341,49498,24277,106735.8235,0,5994.725001,5482.808553
342,41451,24296,7926.569199,0,0,0
343,46175,24308,244604.5281,0,992.8330285,3391.445045
344,45674,24328,235501.4743,0,475.8801122,3820.828584
345,51176,24382,0,0,0,854.7598465
346,46186,24402,0,0,0,0
347,51653,24439,247573.255,0,268.3859399,3930.318893
348,21311,24447,28134.63868,0,1561.195148,2420.18799
349,10868,24473,231480.9684,0,559.2695804,4351.829518
350,48031,24544,0,0,0,277.5140841
351,39029,24545,218605.7988,0,723.2200627,4983.488864
352,21881,24547,272973.9552,0,353.5330032,4408.16646
353,44365,24638,201988.5922,0,691.9963156,4665.762419
354,40535,24672,0,0,3.055113631,577.6700458
355,51333,24741,40412.54951,0,28.43546812,633.8067008
356,46388,24778,165206.0998,33664.15143,1791.570288,4585.462901
357,44667,24820,190511.1742,0,1926.604238,3383.478271
358,49339,24876,10224.20826,0,2223.104094,3003.860382
359,46399,24879,235044.7816,0,353.8750369,4246.978435
360,45501,24906,0,0,0,145.783865
361,38365,24934,112054.2886,0,166.856752,1444.293552
362,47829,24962,176742.1575,0,471.7365903,3160.175967
363,6862,24966,282618.3637,0,322.2290188,4079.318012
364,38041,25036,0,0,0,615.9248389
365,48194,25049,71080.31157,0,2.209431771,599.6389842
366,18601,25069,203549.7173,0,1478.155768,4677.22249
367,40875,25073,48660.82078,0,1484.63694,2973.862145
368,45906,25091,37073.13891,0,5368.874859,4416.921546
369,36777,25107,110277.903,0,326.2305582,910.279901
370,48753,25117,0,0,0,0
371,44106,25140,190660.8675,0,720.9327149,4410.157834
372,44977,25154,247143.2526,0,556.7013365,3777.325016
373,46730,25167,175587.5582,0,531.8568556,2457.769795
374,45367,25210,45473.9474,0,313.8161777,643.1769091
375,48014,25277,244054.7556,0,900.9368438,2904.819646
376,51833,25306,1656.666012,0,0,0
377,5286,25313,240811.8425,0,1505.59239,3963.97252
378,30537,25408,53556.89216,0,0,0
379,10862,25455,57339.95961,0,0,143.7944061
380,35921,25459,225287.9601,0,0,2001.478825
381,45483,25461,55766.87661,0,5156.45945,3091.006233
382,51789,25562,1011.69103,0,0,0
383,44979,25610,0,0,0,870.7213346
384,41029,25635,123433.614,0,156.8587194,1702.917245
385,49341,25659,0,0,0,0
386,34046,25662,18684.01453,0,0,230.2219566
387,43579,25682,0,0,0,527.1696919
388,33189,25686,102059.1678,0,51.68496586,1319.036037
389,37332,25692,59090.24509,0,1825.043132,1682.625913
390,49569,25693,152253.1369,0,667.4760886,4284.21512
391,42707,25725,0,0,0,0
392,3678,25824,261385.9859,0,160.0243836,3332.202313
393,40281,25842,154028.8059,0,496.2886706,4389.691723
394,44754,25944,105093.1431,0,6676.150171,5398.449373
395,32898,25997,24243.61418,0,2.231654492,600.0775009
396,38193,26053,12665.90291,0,0,131.448897
397,42831,26074,206030.3016,0,430.7385875,3603.6971
398,29680,26100,0,0,0,408.5839106
399,46936,26112,0,0,0,0
400,39224,26165,245820.8374,0,28.83832086,3050.642633
401,49808,26246,237946.0177,0,159.500114,3961.444598
402,39815,26257,80264.36974,0,28.6970593,1701.168185
403,49593,26271,67406.43188,0,0,637.0258774
404,47873,26317,0,0,1514.306639,1339.721159
405,41124,26339,0,0,0,0
406,45581,26349,196920.7438,0,1038.510809,4564.171815
407,44465,26386,112506.0862,0,1912.787812,2968.604068
408,51186,26406,224783.2446,0,535.6193282,3668.388627
409,43677,26477,0,0,0,260.3937567
410,13538,26521,254553.5903,0,374.4386183,4096.032311
411,48083,26552,143769.3718,0,15066.97924,7629.493672
412,42541,26574,178680.0216,0,22.99072651,1620.922939
413,22929,26665,31129.10539,0,1455.804469,2919.637271
414,35521,26680,272684.0525,7357.946091,64.04241504,2617.16647
415,25635,26683,20069.74134,0,52.39030735,505.3016132
416,44569,26719,0,0,2.404735035,437.0090564
417,42413,26793,190114.273,0,76.80488027,3576.7
418,47593,26814,0,0,0,513.2864481
